size,IDS,HC,RRHC,SA
4,0.0007173776626586914,0.0009154319763183594,0.0015984535217285155,0.003300642967224121
5,0.002131342887878418,0.001636505126953125,0.002758336067199707,0.005501580238342285
6,0.009981012344360352,0.0044299840927124025,0.011423897743225098,0.030750846862792967
7,0.027259111404418945,0.005503320693969726,0.013427257537841797,0.028800344467163085
8,0.1435641050338745,0.006911754608154297,0.03598778247833252,0.036501169204711914
9,0.7120630502700805,0.009602189064025879,0.04741964340209961,0.3824646234512329
10,3.5176146268844604,0.014697861671447755,0.11000237464904786,0.13664309978485106
11,19.260852789878847,0.02181100845336914,0.13360564708709716,0.13981075286865235
