size,IDS,HC,RRHC,SA
4,,,0.0016250133514404297,
5,,,0.003269386291503906,
6,,,0.017008304595947266,
7,,,0.02077615261077881,
8,,,0.06584711074829101,
9,,,0.07363307476043701,
10,,,0.10303549766540528,
11,,,0.1717789888381958,
12,,,0.2782423734664917,
13,,,0.3469020128250122,
14,,,0.4820669651031494,
15,,,0.8392964839935303,
16,,,1.0604671478271483,
17,,,0.9689126968383789,
18,,,1.4371676921844483,
19,,,1.4527916193008423,
20,,,1.5732672929763794,
21,,,2.288968396186829,
22,,,2.7770058870315553,
23,,,3.1305044651031495,
24,,,3.8783122062683106,
25,,,4.556547355651856,
26,,,5.222812032699585,
27,,,6.399500608444214,
28,,,6.497525644302368,
29,,,8.195970678329468,
30,,,9.880449175834656,
