size,IDS,HC,RRHC,SA
4,0.001547098159790039,0.000981283187866211,0.0031032800674438477,0.004276943206787109
5,0.002974534034729004,0.0032911777496337892,0.004879021644592285,0.006000781059265136
6,0.007795214653015137,0.003603076934814453,0.016536760330200195,0.02376246452331543
7,0.035657191276550294,0.0063275575637817385,0.015174293518066406,0.0234677791595459
8,0.14542045593261718,0.007152748107910156,0.048446273803710936,0.031143689155578615
9,0.721710467338562,0.01089637279510498,0.05806446075439453,0.06506619453430176
10,3.5074401617050173,0.016365838050842286,0.11011602878570556,0.08950376510620117
11,19.636336851119996,0.025276589393615722,0.1743547201156616,0.1773764371871948
