size,IDS,HC,SA
4,0.005714631080627442,0.0008705615997314453,0.0031059741973876952
5,0.006955981254577637,0.002349376678466797,0.005218935012817383
6,,0.003631138801574707,0.06786983013153076
7,,0.006353831291198731,0.10724639892578125
8,,0.008005261421203613,0.1354541778564453
9,,0.011554837226867676,0.1916607141494751
10,,0.01585514545440674,0.3417591333389282
11,,0.021302413940429688,0.39995200634002687
12,,0.042095088958740236,0.3659359931945801
13,,0.04355676174163818,0.40846891403198243
14,,0.05436887741088867,0.47970173358917234
15,,0.06682801246643066,0.3890653133392334
16,,0.08404741287231446,0.5346868515014649
17,,0.1063990592956543,0.7940645217895508
18,,0.12210156917572021,0.8396965503692627
19,,0.13844506740570067,0.7210014343261719
20,,0.21718716621398926,0.7302453279495239
21,,0.20697479248046874,1.395030951499939
22,,0.29976401329040525,1.4221561193466186
23,,0.36086599826812743,1.017136001586914
24,,0.3820744514465332,1.4485463857650758
25,,0.3819177865982056,1.5038564682006836
26,,0.540202283859253,1.8513785362243653
27,,0.5638073921203614,1.994419527053833
28,,0.7111141681671143,1.7776232481002807
29,,0.8029289722442627,1.9584176540374756
